PEKING UNIVERSITY	北京大学
KEELE UNIVERSITY	基尔大学
FENG CHIA UNIVERSITY	逢甲大学
GEORGETOWN UNIVERSITY	乔治城大学
SHINSHU UNIVERSITY	信州大学
PROTEIN SCIENCES	蛋白科学公司
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER	圣约瑟夫医院和医疗中心
AT&T LABS	在 T 实验室
VA BOSTON HEALTHCARE SYSTEM	VA 波士顿医疗保健系统
INSTITUTE OF INSECT SCIENCES, ZHEJIANG UNIVERSITY	浙江大学昆虫科学研究所
IWATE MEDICAL UNIVERSITY	岩手医科大学
SIR RUN RUN SHAW HOSPITAL	邵逸夫医院
ROYAL LIVERPOOL UNIVERSITY HOSPITAL	皇家利物浦大学医院
KANSAI MEDICAL UNIVERSITY	关西医科大学
BAUSCH & LOMB	博士伦
MILITARY HOSPITAL	军队医院
ENVIRON	环境
NATIONAL CHUNG HSING UNIVERSITY	国立中兴大学
ZHEJIANG NORMAL UNIVERSITY	浙江师范大学
SHANDONG UNIVERSITY OF TECHNOLOGY	山东工业大学
AUSTRIAN ACADEMY OF SCIENCES	奥地利科学院
SPACE RESEARCH INSTITUTE	空间研究所
SOUTHERN METHODIST UNIVERSITY	南卫理公会大学
RAYTHEON	雷声
GOVERNMENT OF THE UNITED STATES OF AMERICA	美利坚合众国政府
UNIVERSITY OF COLORADO COLORADO SPRINGS	科罗拉多大学科罗拉多泉分校
CITY UNIVERSITY LONDON	伦敦城市大学
GRIFFITH UNIVERSITY	格里菲斯大学
SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE	南伊利诺伊大学爱德华兹维尔分校
INSTITUTE FOR ADVANCED STUDY	高级研究学院
TEXAS A&M UNIVERSITY SYSTEM	德州 A&M 大学系统
LOYOLA UNIVERSITY CHICAGO	芝加哥洛约拉大学
EINDHOVEN UNIVERSITY OF TECHNOLOGY	埃霍温理工大学
HENAN UNIVERSITY OF TECHNOLOGY	河南工业大学
SAINT MARY'S UNIVERSITY	圣玛丽大学
SHANGHAI UNIVERSITY OF ELECTRIC POWER	上海电力大学
SALK INSTITUTE FOR BIOLOGICAL STUDIES	索尔克生物研究所
ATLANTIC OCEANOGRAPHIC AND METEOROLOGICAL LABORATORY	大西洋海洋学和气象实验室
EASTMAN KODAK COMPANY	伊士曼柯达公司
MONASH UNIVERSITY, CLAYTON CAMPUS	莫纳什大学克莱顿校区
NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY	挪威科技大学
UNIVERSITY OF STRASBOURG	斯特拉斯堡大学
BAYLOR UNIVERSITY MEDICAL CENTER	贝勒大学医疗中心
BOSTON CHILDREN'S HOSPITAL	波士顿儿童医院
MEDICAL UNIVERSITY OF VIENNA	维也纳医科大学
PARC	施乐帕克研究中心
KOBE UNIVERSITY	神户大学
UNIVERSITY OF GLASGOW	格拉斯哥大学
HONG KONG MONETARY AUTHORITY	香港金融管理局
UNIVERSITY OF DUISBURG	杜伊斯堡大学
CHINA ACADEMY OF ENGINEERING PHYSICS	中国工程物理研究院
WALSH UNIVERSITY	沃尔什大学
GUILIN UNIVERSITY OF ELECTRONIC TECHNOLOGY	桂林电子科技大学
CHIRON CORPORATION	巨浪公司
HONEYWELL	霍尼韦尔
BINGHAMTON UNIVERSITY	纽约州立大学宾汉姆顿分校
UNIVERSITY OF BRADFORD	布拉德福德大学
MIAMI UNIVERSITY	迈阿密大学
UNIVERSITY OF GENEVA	日内瓦大学
NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA	中国国家自然科学基金
SPACE SCIENCE INSTITUTE	空间科学研究所
FUJIAN MEDICAL UNIVERSITY	福建医科大学
UNIVERSITY OF FUKUI	福井大学
HEIDELBERG UNIVERSITY	海德堡大学
UNIVERSITY OF MASSACHUSETTS BOSTON	马萨诸塞州波士顿大学
UNIVERSITY OF ALABAMA IN HUNTSVILLE	阿拉巴马大学亨茨维尔分校
TIANJIN POLYTECHNIC UNIVERSITY	天津工业大学
HUNAN COLLEGE OF FINANCE AND ECONOMICS	湖南财经学院
SHANDONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	山东科技大学
TOKYO METROPOLITAN UNIVERSITY	东京都立大学
RUIJIN HOSPITAL	瑞金医院
UNIVERSITY OF KENT	肯特大学
TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY	天津科技大学
UNIVERSITY OF ERLANGEN-NUREMBERG	埃朗根大学-纽伦堡分校
NETAPP	NETAPP
LANCASTER UNIVERSITY	兰开斯特大学
STMICROELECTRONICS	意法半导体
ARCO	阿科
UNIVERSITY OF REGENSBURG	雷根斯堡大学
TOKYO UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	东京农业技术大学
DESERT RESEARCH INSTITUTE	沙漠研究所
ROSKAMP INSTITUTE	罗斯坎普研究所
SHANGHAI UNIVERSITY OF ENGINEERING SCIENCES	上海工程科学大学
BRUNEL UNIVERSITY LONDON	布鲁内尔大学伦敦分校
MELBOURNE INSTITUTE OF TECHNOLOGY	墨尔本理工学院
RUSSIAN ACADEMY OF SCIENCES	俄罗斯科学院
SAINT PETER'S UNIVERSITY	圣彼得大学
GEOLOGICAL SURVEY OF CANADA	加拿大地质调查
OAKLAND UNIVERSITY	奥克兰大学
CARNEGIE INSTITUTION FOR SCIENCE	卡内基科学研究院
FLEXTRONICS	伟创力
FORD MOTOR COMPANY	福特汽车公司
VILLANOVA UNIVERSITY	维拉诺瓦大学
DEPAUL UNIVERSITY	德保罗大学
VIRGINIA BIOINFORMATICS INSTITUTE	弗吉尼亚生物信息学研究所
NIIGATA UNIVERSITY	新泻大学
UNIVERSITY OF NEVADA, RENO	内华达州大学雷诺分校
UNIVERSITY OF MAINZ	美因茨大学
NORTHWEST UNIVERSITY FOR NATIONALITIES	西北民族大学
XI'AN POLYTECHNIC UNIVERSITY	西安理工大学
WILMINGTON UNIVERSITY	威尔明顿大学
IBARAKI UNIVERSITY	茨城大学
ROYAL INSTITUTION	皇家学院
CARDIAC PACEMAKERS, INC.	心脏起搏器公司
ST. JUDE MEDICAL	圣裘德医疗
PENNINGTON BIOMEDICAL RESEARCH CENTER	生物医学研究中心
THE WALLACE H. COULTER DEPARTMENT OF BIOMEDICAL ENGINEERING	华莱士生物医学工程系
BAKER IDI HEART AND DIABETES INSTITUTE	心脏与糖尿病研究所
TIANJIN MEDICAL UNIVERSITY CANCER INSTITUTE AND HOSPITAL	天津医科大学癌症研究所和医院
UNKNOWN INSTITUTE	未知研究所
TUFTS UNIVERSITY	塔夫茨大学
SHANGHAI JIAO TONG UNIVERSITY	上海交通大学
ASTON UNIVERSITY	阿斯顿大学
LANZHOU UNIVERSITY	兰州大学
UNIVERSITY OF ILLINOIS AT URBANA–CHAMPAIGN	伊利诺伊大学厄巴纳-香槟分校
IBM	Ibm
M/A-COM TECHNOLOGY SOLUTIONS	技术解决方案
SOUTHEAST UNIVERSITY	东南大学
CHINESE PLA GENERAL HOSPITAL	中国人民解放军总医院
BOYCE THOMPSON INSTITUTE FOR PLANT RESEARCH	博伊斯植物研究研究所
UNIVERSITY OF CALIFORNIA, SAN DIEGO	加州大学圣地亚哥分校
CATHOLIC UNIVERSITY OF KOREA	加图立大学
GUANGXI NORMAL UNIVERSITY	广西师范大学
CHINA AERODYNAMICS RESEARCH AND DEVELOPMENT CENTER	中国空气动力学研究开发中心
NANOSYS	纳米系统公司
NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE AND TECHNOLOGY	国家先进工业科技研究院
QIQIHAR UNIVERSITY	齐齐哈尔大学
NAVAL UNIVERSITY OF ENGINEERING	海军工程大学
ITHACA COLLEGE	伊萨卡学院
ALCATEL-LUCENT	阿尔卡特-朗讯
DE MONTFORT UNIVERSITY	德孟福尔大学
DONGGUAN UNIVERSITY OF TECHNOLOGY	东莞理工大学
MONTANA STATE UNIVERSITY	蒙大拿州立大学
UNIVERSITY OF HELSINKI	赫尔辛基大学
NEC	Nec
ROBERT KOCH INSTITUTE	罗伯特. 科赫研究所
CANADA CENTRE FOR REMOTE SENSING	加拿大遥感中心
SOUTH CHINA AGRICULTURAL UNIVERSITY	华南农业大学
ENVIRONMENTAL PROTECTION ADMINISTRATION	环境保护管理
KAVLI INSTITUTE FOR THEORETICAL PHYSICS	KAVLI 理论物理研究所
AARHUS UNIVERSITY	奥胡斯大学
HARBIN UNIVERSITY	哈尔滨大学
UNIVERSITY OF TOKYO	东京大学
DISCOVERY INSTITUTE	发现研究所
NORWICH UNIVERSITY	诺维奇大学
TEXAS A&M HEALTH SCIENCE CENTER	德州 A&M 健康科学中心
MINISTRY OF LAND AND RESOURCES OF THE PEOPLE'S REPUBLIC OF CHINA	中华人民共和国土地和资源部
LIVESTOCK IMPROVEMENT CORPORATION	家畜改良公司
EMORY UNIVERSITY	埃默里大学
FREESCALE SEMICONDUCTOR	飞思卡尔半导体
COWLES FOUNDATION	考尔斯基金会
GE HEALTHCARE	GE 医疗保健
SAINT PETERSBURG STATE UNIVERSITY	圣彼得堡州立大学
UNIVERSITY OF TWENTE	特文特大学
HEFEI NORMAL UNIVERSITY	合肥师范大学
SOUTHWEST UNIVERSITY FOR NATIONALITIES	西南民族大学
UNIVERSITY OF LEICESTER	莱斯特大学
UNIVERSITY OF CALIFORNIA, IRVINE	加州大学欧文分校
CENTRAL CHINA NORMAL UNIVERSITY	华中师范大学
NATIONAL SUN YAT-SEN UNIVERSITY	中山大学国立中山大学
NORTHEAST AGRICULTURAL UNIVERSITY	东北农业大学
VCU MEDICAL CENTER	VCU 医疗中心
LANZHOU UNIVERSITY OF TECHNOLOGY	兰州理工大学
UNIVERSIDAD DE BOGOT? JORGE TADEO LOZANO	波哥大大学？乔治 TADEO LOZANO
CHINA SOUTHERN POWER GRID COMPANY	中国南方电网公司
NOVA SOUTHEASTERN UNIVERSITY	诺瓦东南大学
LAMONT–DOHERTY EARTH OBSERVATORY	拉蒙特-多尔蒂地球观测站
ALLEGHENY UNIVERSITY OF THE HEALTH SCIENCES	阿勒格尼健康科学大学
SONY BROADCAST & PROFESSIONAL RESEARCH LABORATORIES	索尼广播和专业研究实验室
UNIVERSITY OF BOLTON	博尔顿大学
LONDON RESEARCH INSTITUTE	伦敦研究所
UNIVERSITY OF FERRARA	费拉拉大学
BIO-RAD LABORATORIES	bio-rad 实验室
CISCO SYSTEMS, INC.	思科系统公司
AMAZON.COM	亚马逊
KINGSTON UNIVERSITY	金斯敦大学
ODENSE UNIVERSITY	欧登塞大学
MOUNT SINAI HOSPITAL	西奈山医院
INTERNATIONAL AGENCY FOR RESEARCH ON CANCER	国际癌症研究机构
CHINA EARTHQUAKE ADMINISTRATION	中国地震局
KEK	高能加速器研究机构
SHENYANG UNIVERSITY	沈阳大学
VACCINE RESEARCH CENTER	疫苗研究中心
STATE OCEANIC ADMINISTRATION	国家海洋管理局
UNIVERSITY OF SOUTH AUSTRALIA	南澳大利亚大学
JIANGXI UNIVERSITY OF SCIENCE AND TECHNOLOGY	江西科技大学
GENTOFTE HOSPITAL	GENTOFTE 医院
KOSAN BIOSCIENCES	高山生物科学
HUNAN INSTITUTE OF SCIENCE AND TECHNOLOGY	湖南科学技术学院
BLACKBERRY LIMITED	黑莓有限公司
AGRICULTURE AND FORESTRY UNIVERSITY	农林大学
UNIVERSITY OF HOHENHEIM	HOHENHEIM 大学
CENTER FOR INFORMATION TECHNOLOGY	信息技术中心
ROYAL CHILDREN'S HOSPITAL	皇家儿童医院
GENENCOR	杰能科
INSPUR	浪潮
INDIANA UNIVERSITY BLOOMINGTON	印第安纳大学布卢明顿
NATIONAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY	国立台湾科技大学
NATIONAL RESOURCE CENTER	国家资源中心
THE INSTITUTE OF OPTICS	光学研究所
TIANJIN URBAN CONSTRUCTION INSTITUTE	天津市建设学院
DALIAN POLYTECHNIC UNIVERSITY	大连工业大学
NORTHERN HOSPITAL	北方医院
SHENYANG	沈阳
NATIONAL UNITED UNIVERSITY	国立联合大学
NEW MEXICO STATE UNIVERSITY	新墨西哥州立大学
NATIONAL INSTITUTE FOR NANOTECHNOLOGY	国家纳米技术研究所
YUNNAN AGRICULTURAL UNIVERSITY	云南农业大学
AIR PRODUCTS & CHEMICALS	航空产品和化学品
WALTER REED ARMY INSTITUTE OF RESEARCH	沃尔特. 里德陆军研究所
MINISTRY OF WATER RESOURCES	水利部
CALIFORNIA HEALTH AND HUMAN SERVICES AGENCY	加利福尼亚卫生和人类服务局
BEIJING TECHNOLOGY AND BUSINESS UNIVERSITY	北京工商大学
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION	国家海洋和大气管理局
NATIONAL UNIVERSITY OF IRELAND, GALWAY	爱尔兰国立大学, 戈尔韦
COLLEGE OF FISHERIES	渔业学院
CHUNG SHAN MEDICAL UNIVERSITY	中山医学大学
UNION UNIVERSITY	联合大学
SILICONWARE PRECISION INDUSTRIES COMPANY, LTD.	SILICONWARE 精密工业股份有限公司
XUCHANG UNIVERSITY	许昌大学
LINK?PING UNIVERSITY	林雪平大学
UNIVERSITY OF NANTES	南特大学
GUANGDONG OCEAN UNIVERSITY	广东海洋大学
CENTER FOR FOOD SAFETY	食品安全中心
UNIVERSITY OF NEW HAMPSHIRE	新罕布什尔州大学
WICHITA STATE UNIVERSITY	威奇托州立大学
CARDIOVASCULAR INSTITUTE OF THE SOUTH	南方心血管研究所
HARBIN UNIVERSITY OF SCIENCE AND TECHNOLOGY	哈尔滨科技大学
TEXAS STATE UNIVERSITY	德克萨斯州立大学
SINGAPORE–MIT ALLIANCE	新加坡-麻省理工学院学术联盟
BARUCH COLLEGE	巴里学院
HUNAN AGRICULTURAL UNIVERSITY	湖南农业大学
ROYAL PRINCE ALFRED HOSPITAL	皇家阿尔弗雷德亲王医院
FAIRFIELD HOSPITAL	费尔菲尔德医院
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER	俄克拉何马州大学健康科学中心
YORK UNIVERSITY	约克大学
ST VINCENT HOSPITAL	圣云仙医院
JIANGSU UNIVERSITY	江苏大学
FURMAN UNIVERSITY	弗曼大学
AUTONOMOUS UNIVERSITY OF MADRID	马德里自治大学
KYUNG HEE UNIVERSITY	庆熙大学
SWANSEA UNIVERSITY	斯旺西大学
JAPAN AGENCY FOR MARINE-EARTH SCIENCE AND TECHNOLOGY	日本海洋科学技术局
BAKER HUGHES	贝克休斯
CHINA UNIVERSITY OF SCIENCE AND TECHNOLOGY	中国科学技术大学
RYUKOKU UNIVERSITY	龙谷大学
FOUNDATION MEDICINE	基础医学
SUNGKYUNKWAN UNIVERSITY	成均馆大学
INDIANA STATE UNIVERSITY	印第安纳州立大学
TOKYO ELECTRIC POWER COMPANY	东京电力公司
AARON DIAMOND AIDS RESEARCH CENTER	亚伦钻石艾滋病研究中心
MEISEI UNIVERSITY	明星大学
JIANGXI AGRICULTURAL UNIVERSITY	江西农业大学
BRAUNSCHWEIG UNIVERSITY OF TECHNOLOGY	布伦瑞克理工大学
BEAUMONT HOSPITAL	博蒙特医院
GHENT UNIVERSITY	根特大学
BOURNEMOUTH UNIVERSITY	伯恩茅斯大学
UNIVERSITY OF NORTHAMPTON	北安普顿大学
COLLEGE OF NATURAL RESOURCES	自然资源学院
AIR FORCE RESEARCH LABORATORY	美国空军实验室
SOUTHWEST AGRICULTURAL UNIVERSITY	西南农业大学
HANGZHOU UNIVERSITY	杭州大学
KUNMING INSTITUTE OF BOTANY	中国科学院昆明植物研究所
UNIVERSITY OF GOTHENBURG	哥德堡大学
CHINA NATIONAL PETROLEUM CORPORATION	中国石油总公司
UNIVERSITY OF HAMBURG	汉堡大学
SAN FRANCISCO STATE UNIVERSITY	旧金山州立大学
LIQUID CRYSTAL INSTITUTE	液晶研究所
BROAD INSTITUTE	博德研究所
UNIVERSITY OF NORTHERN BRITISH COLUMBIA	北不列颠哥伦比亚大学
DEAKIN UNIVERSITY	迪肯大学
WASEDA UNIVERSITY	早稻田大学
TENNESSEE TECHNOLOGICAL UNIVERSITY	田纳西理工大学
VETERINARY LABORATORIES AGENCY	兽医实验室机构
QUEENSLAND UNIVERSITY OF TECHNOLOGY	昆士兰理工大学
JEWISH HOSPITAL	犹太医院
ALNYLAM PHARMACEUTICALS	奥尼兰姆制药
ISTITUTO NAZIONALE DI FISICA NUCLEARE	马兰戈尼物理学 NUCLEARE
JOINT INSTITUTE FOR NUCLEAR RESEARCH	联合核研究研究所
CHINA EUROPE INTERNATIONAL BUSINESS SCHOOL	中欧国际商学院
THE AMERICAN COLLEGE OF FINANCIAL SERVICES	美国金融服务学院
HARBIN NORMAL UNIVERSITY	哈尔滨师范大学
UNIVERSITY OF SOUTH CHINA	华南大学
ENGLEWOOD HOSPITAL AND MEDICAL CENTER	恩格尔伍德医院和医疗中心
GODDARD SPACE FLIGHT CENTER	戈达德太空飞行中心
GEORGIA SOUTHERN UNIVERSITY	佐治亚南方大学
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER	密西西比大学医学中心
TOKYO ELECTRON	东京电子
UNIVERSITY OF ST ANDREWS	圣安德鲁斯大学
MARSHALL UNIVERSITY	马歇尔大学
NORTH CAROLINA STATE UNIVERSITY	北卡罗来纳州立大学
WUHAN POLYTECHNIC UNIVERSITY	武汉理工大学
JOHNSON & JOHNSON PHARMACEUTICAL RESEARCH AND DEVELOPMENT	约翰逊和约翰逊制药研究与开发
LIFE TECHNOLOGIES	生命技术
CHONGQING TECHNOLOGY AND BUSINESS UNIVERSITY	重庆工商大学
SWISS FEDERAL INSTITUTE OF AQUATIC SCIENCE AND TECHNOLOGY	瑞士联邦水产科学与技术研究所
MONTREAL CHILDREN'S HOSPITAL	蒙特利尔儿童医院
WEST PHARMACEUTICAL SERVICES	西医药服务
SUN YAT-SEN UNIVERSITY OF MEDICAL SCIENCES	中山医科大学
EPIGENOMICS AG	EPIGENOMICS 股份公司
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH	大学大气研究公司
MITSUBISHI	三菱
INDIAN INSTITUTE OF TECHNOLOGY BOMBAY	孟买印度技术研究所
UNIVERSITY OF MAINE	缅因州大学
COLORADO SCHOOL OF MINES	科罗拉多矿业学院
UNIVERSITY MEDICAL CENTER NEW ORLEANS	新奥尔良大学医学中心
UNIVERSITY OF TEXAS SYSTEM	德克萨斯大学系统
DUPONT CENTRAL RESEARCH	杜邦中心研究
GLASGOW CALEDONIAN UNIVERSITY	格拉斯哥加里东大学
PUBLIC HEALTH AGENCY OF CANADA	加拿大公共卫生机构
HEBEI UNIVERSITY OF TECHNOLOGY	河北工业大学
WESTERN DIGITAL	西部数据
RUHR UNIVERSITY BOCHUM	波鸿鲁尔大学
FLORIDA INSTITUTE OF TECHNOLOGY	佛罗里达理工学院
AGERE SYSTEMS	杰尔系统
CHIBA UNIVERSITY	千叶大学
CALIFORNIA PACIFIC MEDICAL CENTER	加州太平洋医疗中心
FIRST AFFILIATED HOSPITAL OF WENZHOU MEDICAL UNIVERSITY	温州医科大学第一附属医院
MONSANTO	孟山都公司
BANGOR UNIVERSITY	班戈大学
ROWAN UNIVERSITY	罗文大学
ARIAD PHARMACEUTICALS, INC.	阿瑞雅德制药公司
SYNOPSYS	SYNOPSYS
CREE INC.	克里科技公司
MINISTRY OF SCIENCE AND TECHNOLOGY	科技部
UNIVERSITY HOSPITALS OF CLEVELAND	克利夫兰大学医院
POPULATION HEALTH RESEARCH INSTITUTE	人口健康研究所
UNIVERSITY OF GRAZ	格拉茨大学
GANSU AGRICULTURAL UNIVERSITY	甘肃农业大学
SOUTHWEST PETROLEUM UNIVERSITY	西南石油大学
BEIJING UNIVERSITY OF CHINESE MEDICINE	北京中医药大学
SRA INTERNATIONAL	国际
UNIVERSITY OF WINDSOR	温莎大学
ONTARIO MINISTRY OF TRANSPORTATION	安大略交通部
CENTRAL UNIVERSITY, INDIA	印度中央大学
WASTE MANAGEMENT, INC	废物管理公司
TOKYO MEDICAL AND DENTAL UNIVERSITY	东京医科牙科大学
RESEARCH INSTITUTE OF MOLECULAR PATHOLOGY	分子病理学研究院
TOKYO UNIVERSITY OF SCIENCE	东京科学大学
DOSHISHA UNIVERSITY	同志社大学
VRIJE UNIVERSITEIT BRUSSEL	布鲁塞尔自由大学
CHINESE MINISTRY OF AGRICULTURE	中国农业部
CENTRE HOSPITALIER UNIVERSITAIRE DE GRENOBLE	格勒诺布尔中心医院
JOSEPH FOURIER UNIVERSITY	约瑟夫傅里叶大学
SHANGHAI OCEAN UNIVERSITY	上海海洋大学
TECHNISCHE HOCHSCHULE	工业大学音乐学院
SANDISK	闪迪
CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER	辛辛那提儿童医院医疗中心
UNIVERSITY OF SOUTH DAKOTA	南达科他州大学
OCEAN DRILLING PROGRAM	海洋钻探项目
SALIX PHARMACEUTICALS	柳杉制药
EASTERN VIRGINIA MEDICAL SCHOOL	东区弗吉尼亚医科大学
RWTH AACHEN UNIVERSITY	亚琛亚琛大学
WELLCOME TRUST CENTRE FOR CELL-MATRIX RESEARCH	康信细胞基质研究信托中心
HYPERTHERM	海宝
RIGSHOSPITALET	RIGSHOSPITALET
OSAKA MEDICAL COLLEGE	大阪医科大学
UNIVERSITY OF SALFORD	索尔福大学
UNIVERSITY OF NATURAL RESOURCES AND LIFE SCIENCES, VIENNA	维也纳自然资源与生命科学大学
TIANJIN UNIVERSITY OF TECHNOLOGY	天津理工大学
UNIVERSITY OF TURIN	都灵大学
RAGON INSTITUTE OF MGH, MIT AND HARVARD	麻省理工学院和哈佛大学拉贡研究所
STATE UNIVERSITY OF NEW YORK UPSTATE MEDICAL UNIVERSITY	纽约州立大学北部医科大学
MEDICAL RESEARCH COUNCIL	医学研究委员会
POLAROID CORPORATION	宝丽来公司
BOSE CORPORATION	博士公司
VIRGINIA COMMONWEALTH UNIVERSITY	弗吉尼亚联邦大学
BOEING PHANTOM WORKS	波音幻影作品
ANSCHUTZ MEDICAL CAMPUS	安舒茨医疗校区
MONTCLAIR STATE UNIVERSITY	蒙特克莱尔州立大学
SICHUAN NORMAL UNIVERSITY	四川师范大学
NORTH EAST UNIVERSITY	东北大学
HAMBURG UNIVERSITY OF TECHNOLOGY	汉堡理工大学
GERMAN RESEARCH CENTRE FOR ARTIFICIAL INTELLIGENCE	德国人工智能研究中心
COVANCE	科文斯
UNIVERSITY OF ALASKA FAIRBANKS	阿拉斯加大学费尔班克斯分校
NORTHEAST FORESTRY UNIVERSITY	东北林业大学
MYONGJI UNIVERSITY	明知大学
NOTTINGHAM TRENT UNIVERSITY	诺丁汉特伦大学
ALFRED HOSPITAL	阿尔弗雷德医院
SUN MICROSYSTEMS	太阳微计算机系统
UCL INSTITUTE OF OPHTHALMOLOGY	伦敦大学科学研究院
HELEN WILLS NEUROSCIENCE INSTITUTE	海伦遗嘱神经科学研究所
SLIPPERY ROCK UNIVERSITY OF PENNSYLVANIA	宾夕法尼亚滑岩大学
UNIVERSITY OF BASEL	巴塞尔大学
ZHEJIANG OCEAN UNIVERSITY	浙江海洋大学
FUJIAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE	福建中医药大学
CALIFORNIA NATIONAL PRIMATE RESEARCH CENTER	加州国家灵长类研究中心
HEALTH SCIENCES CENTRE	健康科学中心
WESTERN MICHIGAN UNIVERSITY	西密歇根大学
INSTITUTE FOR GEOSCIENCES AND NATURAL RESOURCES	地球科学与自然资源研究所
EDISON WELDING INSTITUTE	爱迪生焊接研究所
THE CENTRE FOR APPLIED GENOMICS	应用基因组学中心
NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH	国家职业安全与健康研究所
AGRICULTURAL UNIVERSITY OF HEBEI	河北农业大学
CHANGCHUN UNIVERSITY	长春大学
JAPAN INTERNATIONAL COOPERATION AGENCY	日本国际合作署
WALTER AND ELIZA HALL INSTITUTE OF MEDICAL RESEARCH	沃尔特和伊丽莎医学研究所
ABERYSTWYTH UNIVERSITY	阿伯里斯特威斯大学
LSU HEALTH SCIENCES CENTER SHREVEPORT	LSU 健康科学中心什里夫波特
GUANGZHOU HIGHER EDUCATION MEGA CENTER	广州高等教育超级中心
CHINA GEOLOGICAL SURVEY	中国地质调查
BT GROUP	英国电信集团
AMHERST COLLEGE	阿默斯特学院
GUANGDONG MEDICAL COLLEGE	广东医科大学
HELSINKI UNIVERSITY OF TECHNOLOGY	赫尔辛基理工大学
MELLANOX TECHNOLOGIES	MELLANOX 技术
NATIONAL ILAN UNIVERSITY	国立宜兰大学
LIAONING TECHNICAL UNIVERSITY	辽宁工程技术大学
JOHN INNES CENTRE	约翰 INNES 中心
INDIAN INSTITUTE OF SCIENCE	印度科学研究院
FEDERAL RESERVE SYSTEM	联邦储备系统
OSAKA CITY UNIVERSITY	大阪城市大学
UNIVERSITY OF COLORADO DENVER	科罗拉多大学丹佛分校
QATAR COMPUTING RESEARCH INSTITUTE	卡塔尔计算研究所
INTERNATIONAL INSTITUTE OF MINNESOTA	明尼苏达国际研究所
CENTER FOR EXCELLENCE IN EDUCATION	教育卓越中心
UNITED STATES INTERNATIONAL TRADE COMMISSION	美国国际贸易委员会
PUSAN NATIONAL UNIVERSITY	釜山国立大学
GYEONGSANG NATIONAL UNIVERSITY	庆尚国立大学
KOREA ELECTROTECHNOLOGY RESEARCH INSTITUTE	韩国电工技术研究所
STATE ADMINISTRATION OF WORK SAFETY	国家安全生产总局
MEMORIAL HOSPITAL OF SOUTH BEND	南弯纪念医院
UNIVERSITY OF WEST GEORGIA	西乔治亚大学
FINISAR	FINISAR
CHINA UNICOM	中国联通
LDS HOSPITAL	LDS 医院
BLAISE PASCAL UNIVERSITY	帕斯卡大学
HUNGARIAN ACADEMY OF SCIENCES	匈牙利科学院
MCAFEE	Mcafee
MINISTRY OF CONSTRUCTION	建设部
PROVIDENCE COLLEGE	普罗维登斯学院
WARSAW UNIVERSITY OF TECHNOLOGY	华沙理工大学
CHILDREN'S HOSPITAL OAKLAND RESEARCH INSTITUTE	奥克兰儿童医院研究所
DALIAN OCEAN UNIVERSITY	大连海洋大学
DALIAN NATIONALITIES UNIVERSITY	大连民族大学
SHIPPENSBURG UNIVERSITY OF PENNSYLVANIA	宾夕法尼亚州希彭兹堡大学
KAGAWA UNIVERSITY	香川大学
TZU CHI FOUNDATION	慈济基金会
CHONNAM NATIONAL UNIVERSITY	全南大学
EASTERN MICHIGAN UNIVERSITY	东密歇根大学
WAKAYAMA MEDICAL UNIVERSITY	和歌山医科大学
TENSILICA	泰思
GEORGIA INSTITUTE OF TECHNOLOGY COLLEGE OF COMPUTING	佐治亚理工大学计算机学院
DUBLIN CITY UNIVERSITY	都柏林城市大学
SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION	半导体制造国际公司
BEIJING INSTITUTE OF CLOTHING TECHNOLOGY	北京服装技术研究所
CHRISTIANA CARE HEALTH SYSTEM	卡尔斯特恩保健系统
UNIVERSITY OF GIESSEN	吉森大学
UNIVERSITY OF MIYAZAKI	宫崎大学
MANCHESTER METROPOLITAN UNIVERSITY	曼彻斯特大都会大学
MAXLINEAR	MAXLINEAR
NATIONAL CENTER FOR GENOME RESOURCES	国家基因组资源中心
SAMSUNG	三星
SIEMENS ENERGY SECTOR	西门子能源行业
RTI INTERNATIONAL	RTI 国际
IDIAP RESEARCH INSTITUTE	IDIAP 研究院
TECHNOLOGY COLLEGE	技术学院
HUAIHAI INSTITUTE OF TECHNOLOGY	淮海理工学院
RIKEN BRAIN SCIENCE INSTITUTE	理研脑科学研究所
JIANGXI NORMAL UNIVERSITY	江西师范大学
UNIVERSITY OF TASMANIA	塔斯马尼亚大学
NATIONAL KAOHSIUNG UNIVERSITY OF APPLIED SCIENCES	国立高雄应用科学大学
